Nombre,Descripcion
Axew,They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks a new one grows in quickly.
Azelf,It is thought that Uxie Mesprit and Azelf all came from the same egg.
Azumarill,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.
Azurill,Azurill’s tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big rubbery tail.
Bagon,With its steel-hard stone head it headbutts indiscriminately. This is because of the stress it feels at being unable to fly.
Baltoy,As soon as it spots others of its kind Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.
Banette,A cursed energy permeated the stuffing of a discarded and forgotten plush doll giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.
Barbaracle,Barbaracle’s legs and hands have minds of their own and they will move independently. But they usually follow the head’s orders.
Barboach,Its slippery body is hard to grasp so much so that there are festivals where people compete to see how many they can catch barehanded.
Basculin,Red and blue Basculin usually do not get along but sometimes members of one school mingle with the other’s school.
Bastiodon,It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they’d fought to the finish.
Bayleef,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
Beartic,It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat.
Beautifly,Beautifly has a long mouth like a coiled needle which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.
Beedrill,Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered they will attack in a furious swarm.
Beheeyem,It uses psychic power to control an opponent’s brain and tamper with its memories.
Beldum,With magnetic traction it pulls its opponents in close. When they’re in range it slashes them with its rear claws.
Bellossom,A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night this Pokémon closes its petals and goes to sleep.
Bellsprout,Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack however strong it may be. From its mouth this Pokémon spits a corrosive fluid that melts even iron.
Bergmite,Using air of -150 degrees Fahrenheit they freeze opponents solid. They live in herds above the snow line on mountains.
Bewear,This Pokémon has the habit of hugging its companions. Many Trainers have left this world after their spines were squashed by its hug.
Bibarel,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
Bidoof,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.
Binacle,They stretch and then contract yanking their rocks along with them in bold hops. They eat seaweed that washes up on the shoreline.
Bisharp,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.
Blastoise,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Blaziken,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.
Blissey,Its fluffy fur coat acts as a sensor enabling it to read the feelings of people and Pokémon.
Blitzle,Its mane shines when it discharges electricity. They use the frequency and rhythm of these flashes to communicate.
Boldore,It explores caves in search of underground water. It’s not comfortable around water so this Pokémon takes great care in lapping it up.
Bonsly,From its eyes it can expel excess moisture from its body. This liquid is similar in composition to human sweat.
Bouffalant,Their fluffy fur absorbs damage even if they strike foes with a fierce headbutt.
Bounsweet,Although it’s too sugary for human consumption Bounsweet’s sweat can be watered down into a juice with just the right amount of sweetness.
Braixen,When the twig is plucked from its tail friction sets the twig alight. The flame is used to send signals to its allies.
Braviary,It’s thought that people disturbed their habitats in the past so Braviary banded together to fight back.
Breloom,The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.
Brionne,It cares deeply for its companions. When its Trainer is feeling down it performs a cheery dance to try and help.
Bronzong,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.
Bronzor,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
Bruxish,It stuns its prey with psychokinesis and then grinds them to mush with its strong teeth. Even Shellder’s shell is no match for it.
Budew,Over the winter it closes its bud and endures the cold. In spring the bud opens and releases pollen.
Buizel,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
Bulbasaur,Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays the seed grows progressively larger.
Buneary,When it senses danger it perks up its ears. On cold nights it sleeps with its head tucked into its fur.
Bunnelby,It has ears like shovels. Digging holes strengthens its ears so much that they can sever thick roots effortlessly.
Burmy,If its cloak is broken in battle it quickly remakes the cloak with materials nearby.
Butterfree,When attacked by other Pokémon it defends itself by scattering its poisonous scales and fluttering its wings.
Buzzwole,A mysterious life-form called an Ultra Beast. Witnesses saw it pulverize a dump truck with a single punch.
Cacnea,The more arid and harsh the environment the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.
Cacturne,If a traveler is going through a desert in the thick of night Cacturne will follow in a ragtag group. The Pokémon are biding their time waiting for the traveler to tire and become incapable of moving.
Camerupt,The humps on Camerupt’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.
Carbink,Although this Pokémon is not especially rare its glittering jewel-draped body draws attention from people.
Carnivine,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.
Carracosta,Active both on land and in the sea this Pokémon drags its land-based prey into the water to finish it off.
Carvanha,If they scent the faintest trace of blood they rush to attack en masse. When alone they’re rather cowardly.
Cascoon,If it is attacked Cascoon remains motionless however badly it may be hurt. It does so because if it were to move its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.
Castform,Its form changes on its own due to its cells’ sensitive reactions to temperature and humidity.
Caterpie,It’s easy to catch and it grows quickly making it one of the top recommendations for novice Pokémon Trainers.
Celebi,This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears a bright and shining future awaits us.
Celesteela,One kind of Ultra Beast. Witnesses have seen it burn down a forest by expelling gas from its two arms.
Chandelure,The spirits burned up in its ominous flame lose their way and wander this world forever.
Chansey,Not only are these Pokémon fast runners they’re also few in number so anyone who finds one must be lucky indeed.
Charizard,Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However it never turns its fiery breath on any opponent weaker than itself.
Charjabug,From the food it digests it generates electricity and it stores this energy in its electric sac.
Charmander,The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged the flame burns fiercely.
Charmeleon,Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe it turns aggressive. In this excited state the flame at the tip of its tail flares with a bluish white color.
Chatot,It can learn and speak human words. If they gather they all learn the same saying.
Cherrim,If it senses strong sunlight it opens its folded petals to absorb the sun’s rays with its whole body.
Cherubi,It evolves by sucking the energy out of the small ball where it had been storing nutrients.
Chesnaught,When it takes a defensive posture with its fists guarding its face it could withstand a bomb blast.
Chespin,Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn’t faze it.
Chikorita,In battle Chikorita waves its leaf around to keep the foe at bay. However a sweet fragrance also wafts from the leaf becalming the battling Pokémon and creating a cozy friendly atmosphere all around.
Chimchar,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
Chimecho,In high winds Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.
Chinchou,It lives in the depths beyond the reach of sunlight. It flashes lights on its antennae to communicate with others of its kind.
Chingling,There is an orb inside its mouth. When it hops the orb bounces all over and makes a ringing sound.
Cinccino,Cinccino’s body is coated in a special oil that helps it deflect attacks such as punches.
Clamperl,Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell it is sure evidence that this Pokémon is getting close to evolution.
Clauncher,Through controlled explosions of internal gas it can expel water like a pistol shot. At close distances it can shatter rock.
Clawitzer,By expelling water from the nozzle in the back of its claw it can move at a speed of 60 knots.
Claydol,Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20000 years. This Pokémon shoots beams from both its hands.
Clefable,According to tradition people who see a pair of Clefable skipping by can look forward to a happy marriage.
Clefairy,On nights with a full moon they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.
Cleffa,Because of its silhouette it’s believed to be a star reborn. For some reason it loves Minior.
Cloyster,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokémon’s shell.
Cobalion,It has a body and heart of steel. It worked with its allies to punish people when they hurt Pokémon.
Cofagrigus,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.
Combee,It collects and delivers honey to its colony. At night they cluster to form a beehive and sleep.
Combusken,Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.
Comfey,Baths prepared with the flowers from its vine have a relaxing effect so this Pokémon is a hit with many people.
Conkeldurr,Rather than rely on force they master moves that utilize the centrifugal force of spinning concrete.
Corphish,Corphish catches prey with its sharp claws. It has no likes or dislikes when it comes to food—it will eat anything. This Pokémon has no trouble living in filthy water.
Corsola,Pursued by Mareanie for the branches on its head this Pokémon will sometimes snap its own branches off as a diversion while it escapes.
Cosmoem,There’s something accumulating around the black core within its hard shell. People think this Pokémon may come from another world.
Cosmog,In ages past it was called the child of the stars. It’s said to be a Pokémon from another world but no specific details are known.
Cottonee,Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy light and airy— altogether top quality.
Crabominable,It just throws punches indiscriminately. In times of desperation it can lop off its own pincers and fire them like rockets.
Crabrawler,It punches so much its pincers often come off from overuse but they grow back quickly. What little meat they contain is rich and delicious.
Cradily,Cradily’s body serves as an anchor preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles.
Cranidos,In rock layers where Cranidos fossils are found the fossilized trunks of trees snapped in two are also often found.
Crawdaunt,Crawdaunt molts (sheds) its shell regularly. Immediately after molting its shell is soft and tender. Until the shell hardens this Pokémon hides in its streambed burrow to avoid attack from its foes.
Cresselia,Those who sleep holding Cresselia’s feather are assured of joyful dreams. It is said to represent the crescent moon.
Croagunk,Inflating its poison sacs it fills the area with an odd sound and hits flinching opponents with a poison jab.
Crobat,Silent and swift in its four-winged flight it bites down on its prey before they realize what’s happening. In a heartbeat it drains their blood.
Croconaw,Once Croconaw has clamped its jaws on its foe it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks they become impossible to remove when they have sunk in.
Crustle,Competing for territory Crustle fight viciously. The one whose boulder is broken is the loser of the battle.
Cryogonal,They are composed of ice crystals. They capture prey with chains of ice freezing the prey at -148 degrees Fahrenheit.
Cubchoo,Their snot is a barometer of health. When healthy their snot is sticky and the power of their ice moves increases.
Cubone,The skull it wears on its head is that of its dead mother. According to some it will evolve when it comes to terms with the pain of her death.
Cutiefly,Myriads of Cutiefly flutter above the heads of people who have auras resembling those of flowers.
Cyndaquil,Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However if it is tired the flames splutter fitfully with incomplete combustion.
Darkrai,It can lull people to sleep and make them dream. It is active during nights of the new moon.
Darmanitan,Its internal fire burns at 2500 degrees Fahrenheit making enough power that it can destroy a dump truck with one punch.
Dartrix,It throws sharp feathers called blade quills at enemies or prey. It seldom misses.
Darumaka,When it sleeps it pulls its limbs into its body and its internal fire goes down to 1100 degrees Fahrenheit.
Decidueye,Although basically cool and cautious when it’s caught by surprise it’s seized by panic.
Dedenne,It uses its tail to absorb electricity from power plants or from outlets in houses and then it fires the electricity from its whiskers.
Deerling,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.
Deino,Lacking sight it’s unaware of its surroundings so it bumps into things and eats anything that moves.
Delcatty,Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pokémon approach it as it sleeps this Pokémon will never fight—it will just move away somewhere else.
Delibird,It has a generous habit of sharing its food with people and Pokémon so it’s always scrounging around for more food.
Delphox,Using psychic power it generates a fiery vortex of 5400 degrees Fahrenheit incinerating foes swept into this whirl of flame.
Deoxys,Deoxys emerged from a virus that came from space. It is highly intelligent and wields psychokinetic powers. This Pokémon shoots lasers from the crystalline organ on its chest.
Dewgong,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
Dewott,As a result of strict training each Dewott learns different forms for using the scalchops.
Dewpider,When it comes across enemies or potential prey this Pokémon smashes its water-bubble-covered head into them.
Dhelmise,The soul of seaweed adrift in the waves became reborn as this Pokémon. It maintains itself with new infusions of seabed detritus and seaweed.
Dialga,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.
Diancie,It can instantly create many diamonds by compressing the carbon in the air between its hands.
Diggersby,As powerful as an excavator its ears can reduce dense bedrock to rubble. When it’s finished digging it lounges lazily.
Diglett,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.
Ditto,With its astonishing capacity for metamorphosis it can get along with anything. It does not get along well with its fellow Ditto.
Dodrio,Apparently the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well so it is capable of running long distances without rest.
Doduo,Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions there will be examples of this Pokémon possessing different sets of brains.
Donphan,If Donphan were to tackle with its hard body even a house could be destroyed. Using its massive strength the Pokémon helps clear rock and mud slides that block mountain trails.
Doublade,The complex attack patterns of its two swords are unstoppable even for an opponent greatly accomplished at swordplay.
Dragalge,Tales are told of ships that wander into seas where Dragalge live never to return.
Dragonair,From time immemorial it has been venerated by agricultural peoples as an entity able to control the weather.
Dragonite,Incur the wrath of this normally calm Pokémon at your peril because it will smash everything to smithereens before it’s satisfied.
Drampa,This Pokémon is friendly to people and loves children most of all. It comes from deep in the mountains to play with children it likes in town.
Drapion,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.
Dratini,After a 10-hour struggle a fisherman was able to pull one up and confirm its existence.
Drifblim,Even while under careful observation large flocks of Drifblim flying at dusk will inexplicably disappear from view.
Drifloon,If for some reason its body bursts its soul spills out with a screaming sound.
Drilbur,By spinning its body it can dig straight through the ground at a speed of 30 mph.
Drowzee,It finds really fun dreams tasty. When it makes friends with people it may show them the most delicious dreams it’s ever eaten.
Druddigon,It warms its body by absorbing sunlight with its wings. When its body temperature falls it can no longer move.
Ducklett,They are better at swimming than flying and they happily eat their favorite food peat moss as they dive underwater.
Dugtrio,Despite the closeness between this Pokémon and farmers and other people no one has ever seen the parts of it concealed underground.
Dunsparce,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.
Duosion,When their two divided brains think the same thoughts their psychic power is maximized.
Durant,They attack in groups covering themselves in steel armor to protect themselves from Heatmor.
Dusclops,Dusclops absorbs anything however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.
Dusknoir,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
Duskull,Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.
Dustox,When Dustox flaps its wings a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.
Dwebble,When it finds a stone of a suitable size it secretes a liquid from its mouth to open up a hole to crawl into.
Eelektrik,These Pokémon have a big appetite. When they spot their prey they attack it and paralyze it with electricity.
Eelektross,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.
Eevee,Current studies show it can evolve into an incredible eight different species of Pokémon.
Ekans,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
Electabuzz,Electricity leaks from it in amounts far greater than the amount of electricity it eats.
Electivire,When it gets excited it thumps its chest. With every thud thunder roars and electric sparks shower all around.
Electrike,Electrike runs faster than the human eye can follow. The friction from running is converted into electricity which is then stored in this Pokémon’s fur.
Electrode,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
Elekid,This Pokémon is constantly fighting with Togedemaru that try to steal its electricity. It’s a pretty even match.
Elgyem,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
Emboar,It has mastered fast and powerful fighting moves. It grows a beard of fire.
Emolga,It grills berries and bug Pokémon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.
Empoleon,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
Entei,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
Escavalier,These Pokémon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.
Espeon,It unleashes psychic power from the orb on its forehead. When its power is exhausted the orb grows dull and dark.
Espurr,It has enough psychic energy to blast everything within 300 feet of itself but it has no control over its power.
Excadrill,More than 300 feet below the surface they build mazelike nests. Their activity can be destructive to subway tunnels.
Exeggcute,Six of them together form a full-fledged Pokémon. It’s often hunted by Crabrawler but uses psychokinesis to drive it off.
Exeggutor,When the time comes one of its three heads falls off. Before long the fallen head grows into an Exeggcute.
Exploud,Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.
Farfetch'd,Farfetch’d is always seen with a stalk from a plant of some sort. Apparently there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.
Fearow,Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.
Feebas,Although unattractive and unpopular this Pokémon’s marvelous vitality has made it a subject of research.
Fennekin,As it walks it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears.
Feraligatr,Feraligatr intimidates its foes by opening its huge mouth. In battle it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.
Ferroseed,It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.
Ferrothorn,They attach themselves to cave ceilings firing steel spikes at targets passing beneath them.
Finneon,Its double tail fins propel its energetic jumps. When it breaks the surface of the sea Wingull swoop down to grab it on the fly.
Flaaffy,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
Flabébé,When it finds a flower it likes it dwells on that flower its whole life long. It floats in the wind’s embrace with an untroubled heart.
Flareon,Its average body temperature is between 1300 and 1500 degrees Fahrenheit. In its internal flame sac temperatures reach 3000 degrees.
Fletchinder,It will not tolerate other Fletchinder entering its territory which has a radius of several miles.
Fletchling,When it’s excited its temperature can double spiking hormone production in its body.
Floatzel,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.
Floette,When the flowers of a well-tended flower bed bloom it appears and celebrates with an elegant dance.
Florges,In times long past governors of castles would invite Florges to create flower gardens to embellish the castle domains.
Flygon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
Fomantis,They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding.
Foongus,It lures Pokémon with its pattern that looks just like a Poké Ball then releases poison spores.
Forretress,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey but it does so at such a quick pace that the shell’s inside cannot be seen.
Fraxure,A broken tusk will not grow back so it diligently sharpens its tusks on river rocks after the end of a battle.
Frillish,If its veil-like arms stun and wrap a foe that foe will be dragged miles below the surface never to return.
Froakie,It protects its skin by covering its body in delicate bubbles. Beneath its happy-go-lucky air it keeps a watchful eye on its surroundings.
Frogadier,Its swiftness is unparalleled. It can scale a tower of more than 2000 feet in a minute’s time.
Froslass,The soul of a woman lost on a snowy mountain possessed an icicle becoming this Pokémon. The food it most relishes is the souls of men.
Furfrou,Historically in the Kalos region these Pokémon were the designated guardians of the king.
Furret,Furret has a very slim build. When under attack it can slickly squirm through narrow spaces and get away. In spite of its short limbs this Pokémon is very nimble and fleet.
Gabite,Shiny objects are its passion. It can be found in its cave scarcely moving its gaze fixed on the jewels it’s amassed or Carbink it has caught.
Gallade,A master of courtesy and swordsmanship it fights using extending swords on its elbows.
Galvantula,When attacked they create an electric barrier by spitting out many electrically charged threads.
Garbodor,For a time their numbers increased explosively in Alola. Since the arrival of Grimer their population has decreased dramatically.
Garchomp,The protuberances on its head serve as sensors. It can even detect distant prey.
Gardevoir,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.
Gastly,Although Gastly is barely visible when it’s near a faint sweet smell lingers.
Gastrodon,Plankton invisible to the naked eye is its main food source. It comes onto the land periodically but the reason for this is not known.
Genesect,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.
Gengar,It apparently wishes for a traveling companion. Since it was once human itself it tries to create one by taking the lives of other humans.
Geodude,There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.
Gible,It skulks in caves and when prey or an enemy passes by it leaps out and chomps them. The force of its attack sometimes chips its teeth.
Gigalith,Known for its hefty horsepower this Pokémon is a popular partner for construction workers.
Girafarig,Girafarig’s rear head contains a tiny brain that is too small for thinking. However the rear head doesn’t need to sleep so it can keep watch over its surroundings 24 hours a day.
Giratina,It was banished for its violence. It silently gazed upon the old world from the Distortion World.
Glaceon,It freezes its fur into icicles spiky and sharp and tackles its prey.
Glalie,Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state it gobbles them up.
Glameow,When it’s happy Glameow demonstrates beautiful movements of its tail like a dancing ribbon.
Gligar,Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs then injects the prey with its poison barb.
Gliscor,Its flight is soundless. It uses its lengthy tail to carry off its prey... Then its elongated fangs do the rest.
Gloom,From its mouth Gloom drips honey that smells absolutely horrible. Apparently it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.
Gogoat,They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.
Golbat,Sometimes they drink so much blood they can’t fly anymore. Then they fall to the ground and become food for other Pokémon.
Goldeen,Spellbound by the length of its horn and the beauty of its fins many strange Trainers raise Goldeen and nothing but Goldeen.
Golduck,It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.
Golem,Once a year this Pokémon molts and its shed shell returns to the soil. This process creates enriched soil so farmers collect the shells.
Golett,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.
Golisopod,It battles skillfully with its six arms but spends most of its time peacefully meditating in caves deep beneath the sea.
Golurk,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.
Goodra,It gets picked on because it’s meek. But then whoever teased it gets to feel the full force of its horns and a good swatting from its thick tail.
Goomy,Its source of protection is its slimy germ-laden mucous membrane. Anyone who touches it needs some thorough hand-washing.
Gorebyss,Although Gorebyss is the very picture of elegance and beauty while swimming it is also cruel. When it spots prey this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.
Gothita,They intently observe both Trainers and Pokémon. Apparently they are looking at something that only Gothita can see.
Gothitelle,They can predict the future from the placement and movement of the stars. They can see Trainers’ life spans.
Gothorita,According to many old tales it creates friends for itself by controlling sleeping children on starry nights.
Gourgeist,It enwraps its prey in its hairlike arms. It sings joyfully as it observes the suffering of its prey.
Granbull,More timid than Snubbull this Pokémon is doted on by young people amused at the contrast between its looks and its attitude.
Graveler,This slow-footed Pokémon moves by curling up and rolling instead of walking. With enough momentum its speed can exceed 60 mph.
Greninja,It appears and vanishes with a ninja’s grace. It toys with its enemies using swift movements while slicing them with throwing stars of sharpest water.
Grimer,It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases it dies.
Grotle,It knows where pure water wells up. It carries fellow Pokémon there on its back.
Groudon,Through Primal Reversion and with nature’s full power it will take back its true form. It can cause magma to erupt and expand the landmass of the world.
Grovyle,This Pokémon adeptly flies from branch to branch in trees. In a forest no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.
Growlithe,It looks cute but when you approach another Trainer’s Growlithe it will bark at you and bite.
Grubbin,They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.
Grumpig,Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so it dances bizarrely. This Pokémon’s black pearls are valuable as works of art.
Gulpin,Most of Gulpin’s body is made up of its stomach—its heart and brain are very small in comparison. This Pokémon’s stomach contains special enzymes that dissolve anything.
Gumshoos,It adores having Rattata and Raticate for dinner but as it’s diurnal it never encounters them. This Pokémon boasts incredible patience.
Gurdurr,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.
Guzzlord,A dangerous Ultra Beast it appears to be eating constantly but for some reason its droppings have never been found.
Gyarados,There are people who swear that any place Gyarados appears is fated for destruction.
Hakamo-o,It sheds and regrows its scales on a continuous basis. The scales become harder and sharper each time they’re regrown.
Happiny,It’s too small to lay eggs yet. As a surrogate it searches out round white stones.
