name,pokedex,is_legendary
Magneton,It has about three times the electrical power of Magnemite. For some reason outbreaks of this Pokemon happen when lots of sunspots appear.,0
Farfetch'd,Farfetchd is always seen with a stalk from a plant of some sort. Apparently there are good stalks and bad stalks. This Pokemon has been known to fight with others over stalks.,0
Doduo,Doduos two heads contain completely identical brains. A scientific study reported that on rare occasions there will be examples of this Pokemon possessing different sets of brains.,0
Dodrio,Apparently the heads arent the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well so it is capable of running long distances without rest.,0
Seel,Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe it punches a hole through the ice with the sharply protruding section of its head.,0
Dewgong,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokemon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,0
Grimer,It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases it dies.,0
Muk,After recent environmental improvements this Pokemon is now hardly seen at all. People speculate that it may go extinct at some point.,0
Shellder,This Pokemons tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.,0
Cloyster,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokemons shell.,0
Gastly,Although Gastly is barely visible when its near a faint sweet smell lingers.,0
Haunter,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.,0
Gengar,It apparently wishes for a traveling companion. Since it was once human itself it tries to create one by taking the lives of other humans.,0
Onix,Onix has a magnet in its brain. It acts as a compass so that this Pokemon does not lose direction while it is tunneling. As it grows older its body becomes increasingly rounder and smoother.,0
Drowzee,It finds really fun dreams tasty. When it makes friends with people it may show them the most delicious dreams its ever eaten.,0
Hypno,As a matter of course it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream it carries off.,0
Krabby,Krabby live on beaches burrowed inside holes dug into the sand. On sandy beaches with little in the way of food these Pokemon can be seen squabbling with each other over territory.,0
Kingler,Kingler has an enormous oversized claw. It waves this huge claw in the air to communicate with others. However because the claw is so heavy the Pokemon quickly tires.,0
Voltorb,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poke Ball was exposed to a powerful pulse of energy.,0
Electrode,One of Electrodes characteristics is its attraction to electricity. It is a problematical Pokemon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,0
Exeggcute,Six of them together form a full-fledged Pokemon. Its often hunted by Crabrawler but uses psychokinesis to drive it off.,0
Exeggutor,When the time comes one of its three heads falls off. Before long the fallen head grows into an Exeggcute.,0
Cubone,The skull it wears on its head is that of its dead mother. According to some it will evolve when it comes to terms with the pain of her death.,0
Marowak,This Pokemon is out for vengeance on its natural enemy Mandibuzz. It throws bones like boomerangs to try to take it down.,0
Hitmonlee,Hitmonlees legs freely contract and stretch. Using these springlike legs it bowls over foes with devastating kicks. After battle it rubs down its legs and loosens the muscles to overcome fatigue.,0
Hitmonchan,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokemon has an indomitable spirit and will never give up in the face of adversity.,0
Lickitung,Whenever Lickitung comes across something new it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.,0
Koffing,Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature the more gas is concocted by this Pokemon.,0
Weezing,Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed the more powerful the toxins become. The Pokemon also becomes more putrid.,0
Rhyhorn,Rhyhorns brain is very small. It is so dense while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.,0
Rhydon,Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokemon occasionally rams into streams of magma but the armor-like hide prevents it from feeling the heat.,0
Chansey,Not only are these Pokemon fast runners theyre also few in number so anyone who finds one must be lucky indeed.,0
Tangela,Tangelas vines snap off easily if they are grabbed. This happens without pain allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.,0
Kangaskhan,The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.,0
Horsea,If Horsea senses danger it will reflexively spray a dense black ink from its mouth and try to escape. This Pokemon swims by cleverly flapping the fin on its back.,0
Seadra,Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokemon weakens prey with these currents then swallows it whole.,0
Goldeen,Spellbound by the length of its horn and the beauty of its fins many strange Trainers raise Goldeen and nothing but Goldeen.,0
Seaking,Trainers who are crazy for Seaking are divided into horn enthusiasts and fin enthusiasts. The two groups do not get along well.,0
Staryu,This Pokemon gets nibbled on by Lumineon and others. Thanks to its red core it regenerates fast so its unconcerned by their snack attacks.,0
Starmie,Its unusual body shape reminiscent of abstract art led local people to spread rumors that this Pokemon may be an invader from outer space.,0
Mr. Mime,Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced the unseeable thing exists as if it were real.,0
Scyther,While young they live together deep in the mountains training themselves in how to fight with their scythes and move at high speeds.,0
Jynx,Jynx walks rhythmically swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring people seeing it are compelled to shake their hips without giving any thought to what they are doing.,0
Electabuzz,Electricity leaks from it in amounts far greater than the amount of electricity it eats.,0
Magmar,When angered it spouts brilliant fire from all over its body. It doesnt calm down until its opponent has burned to ash.,0
Pinsir,One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.,0
Tauros,Although its known to be a fierce Pokemon Tauros in the Alola region are said to possess a measure of calmness.,0
Magikarp,Its reckless leaps make it easy pickings for predators. On the bright side many Pokemon enjoy longer life spans thanks to Magikarp.,0
Gyarados,There are people who swear that any place Gyarados appears is fated for destruction.,0
Lapras,These Pokemon were once near extinction due to poaching. Following protective regulations there is now an overabundance of them.,0
Ditto,With its astonishing capacity for metamorphosis it can get along with anything. It does not get along well with its fellow Ditto.,0
Eevee,Current studies show it can evolve into an incredible eight different species of Pokemon.,0
Vaporeon,Blending in with the water and erasing all signs of its presence it patiently waits for its prey fish Pokemon.,0
Jolteon,When its fur stands on end thats a sign its about to give off a jolt of electricity. Take care as sometimes lightning strikes next to it too.,0
Flareon,Its average body temperature is between 1300 and 1500 degrees Fahrenheit. In its internal flame sac temperatures reach 3000 degrees.,0
Porygon,It can convert its body into digital data which enables it to enter cyberspace.,0
Omanyte,Omanyte is one of the ancient and long-since-extinct Pokemon that have been regenerated from fossils by people. If attacked by an enemy it withdraws itself inside its hard shell.,0
Omastar,Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy causing its movements to become too slow and ponderous.,0
Kabuto,Kabuto is a Pokemon that has been regenerated from a fossil. However in extremely rare cases living examples have been discovered. The Pokemon has not changed at all for 300 million years.,0
Kabutops,Kabutops swam underwater to hunt for its prey in ancient times. The Pokemon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,0
Aerodactyl,In ancient times it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.,0
Snorlax,It eats nearly 900 pounds of food every day. It starts nodding off while eating—and continues to eat even while its asleep.,0
Articuno,Articuno is a legendary bird Pokemon that can control ice. The flapping of its wings chills the air. As a result it is said that when this Pokemon flies snow will fall.,1
Zapdos,Zapdos is a legendary bird Pokemon that has the ability to control electricity. It usually lives in thunderclouds. The Pokemon gains power if it is stricken by lightning bolts.,1
Moltres,Moltres is a legendary bird Pokemon that has the ability to control fire. If this Pokemon is injured it is said to dip its body in the molten magma of a volcano to burn and heal itself.,1
Dratini,After a 10-hour struggle a fisherman was able to pull one up and confirm its existence.,0
Dragonair,From time immemorial it has been venerated by agricultural peoples as an entity able to control the weather.,0
Dragonite,Incur the wrath of this normally calm Pokemon at your peril because it will smash everything to smithereens before its satisfied.,0
Mewtwo,Mewtwo is a Pokemon that was created by genetic manipulation. However even though the scientific power of humans created this Pokemons body they failed to endow Mewtwo with a compassionate heart.,1
Mew,Mew is said to possess the genetic composition of all Pokemon. It is capable of making itself invisible at will so it entirely avoids notice even if it approaches people.,1
Chikorita,In battle Chikorita waves its leaf around to keep the foe at bay. However a sweet fragrance also wafts from the leaf becalming the battling Pokemon and creating a cozy friendly atmosphere all around.,0
Bayleef,Bayleefs neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,0
Meganium,The fragrance of Meganiums flower soothes and calms emotions. In battle this Pokemon gives off more of its becalming scent to blunt the foes fighting spirit.,0
Cyndaquil,Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokemon is angry. However if it is tired the flames splutter fitfully with incomplete combustion.,0
Quilava,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokemon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,0
Typhlosion,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokemon creates blazing explosive blasts that burn everything to cinders.,0
Totodile,Despite the smallness of its body Totodiles jaws are very powerful. While the Pokemon may think it is just playfully nipping its bite has enough power to cause serious injury.,0
Croconaw,Once Croconaw has clamped its jaws on its foe it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks they become impossible to remove when they have sunk in.,0
Feraligatr,Feraligatr intimidates its foes by opening its huge mouth. In battle it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.,0
Sentret,When Sentret sleeps it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokemon becomes separated from its pack it becomes incapable of sleep due to fear.,0
Furret,Furret has a very slim build. When under attack it can slickly squirm through narrow spaces and get away. In spite of its short limbs this Pokemon is very nimble and fleet.,0
Hoothoot,Hoothoot has an internal organ that senses and tracks the earths rotation. Using this special organ this Pokemon begins hooting at precisely the same time every day.,0
Noctowl,Noctowl never fails at catching prey in darkness. This Pokemon owes its success to its superior vision that allows it to see in minimal light and to its soft supple wings that make no sound in flight.,0
Ledyba,They communicate with one another using bodily fluids that give off odors. When theyre angry their odor smells sour.,0
Ledian,In battle it throws punches with all four arms. The power of each individual blow is piddly so it aims to win by quantity rather than quality.,0
Spinarak,Some fishermen weave its sturdy thread into nets to catch fish Pokemon.,0
Ariados,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.,0
Crobat,Silent and swift in its four-winged flight it bites down on its prey before they realize whats happening. In a heartbeat it drains their blood.,0
Chinchou,It lives in the depths beyond the reach of sunlight. It flashes lights on its antennae to communicate with others of its kind.,0
Lanturn,This Pokemon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,0
Pichu,Despite this Pokemons cute appearance those who want to live with one should prepare to be on the receiving end of its electric jolts.,0
Cleffa,Because of its silhouette its believed to be a star reborn. For some reason it loves Minior.,0
Igglybuff,It moves by bouncing along. As it moves a lot it sweats and its body gives off a sweet aroma.,0
Togepi,As its energy Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokemon. This Pokemon stores up feelings of happiness inside its shell then shares them with others.,0
Togetic,Togetic is said to be a Pokemon that brings good fortune. When the Pokemon spots someone who is pure of heart it is said to appear and share its happiness with that person.,0
Natu,Natu has a highly developed jumping ability. The Pokemon flaps and leaps onto tree branches that are taller than grown-up people to pick at the trees new shoots.,0
Xatu,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokemon out of their belief that Xatu is in possession of the power to see into the future.,0
Mareep,Mareeps fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged the more brightly the lightbulb at the tip of its tail glows.,0
Flaaffy,Flaaffys wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,0
Ampharos,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokemon to send signals back and forth with others far away.,0
Bellossom,A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night this Pokemon closes its petals and goes to sleep.,0
Marill,When fishing for food at the edge of a fast-running stream Marill wraps its tail around the trunk of a tree. This Pokemons tail is flexible and configured to stretch.,0
Azumarill,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokemon. The air balloons enable the Pokemon in trouble to breathe.,0
Sudowoodo,Apparently the larger the green parts of this Pokemon the more collectors value it. Its a particular favorite among elderly people.,0
Politoed,Its the leader of Poliwag and Poliwhirl. When Politoed roars they all cower in fear.,0
Hoppip,This Pokemon drifts and floats with the wind. If it senses the approach of strong winds Hoppip links its leaves with other Hoppip to prepare against being blown away.,0
Skiploom,Skiplooms flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason this Pokemon is sometimes used as a thermometer.,0
Jumpluff,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokemon descends to the ground when it encounters cold air while it is floating.,0
Aipom,Aipoms tail ends in a hand-like appendage that can be cleverly manipulated. However because the Pokemon uses its tail so much its real hands have become rather clumsy.,0
Sunkern,Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing subsisting only on morning dew.,0
Sunflora,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,0
Yanma,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokemon uses its flying ability to quickly chase down targeted prey.,0
Wooper,Wooper usually lives in water. However it occasionally comes out onto land in search of food. On land it coats its body with a gooey toxic film.,0
Quagsire,Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokemon does not move it does not get very hungry.,0
Espeon,It unleashes psychic power from the orb on its forehead. When its power is exhausted the orb grows dull and dark.,0
Umbreon,With its black fur it blends into the darkness. It bides its time and when prey appears this Pokemon goes for its throat and then eats it.,0
Murkrow,Seen as a symbol of bad luck its generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers its close to.,0
Slowking,This Pokemon is so famed for its intellect that a proverb still persists in some regions: “When in doubt ask Slowking.”,0
Misdreavus,If you hear a sobbing sound emanating from a vacant room its undoubtedly a bit of mischief from Misdreavus.,0
Unown,This Pokemon is shaped like ancient writing. It is a mystery as to which came first the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.,0
Wobbuffet,Wobbuffet does nothing but endure attacks—it wont attack on its own. However it wont endure an attack on its tail. When that happens the Pokemon will try to take the foe with it using Destiny Bond.,0
Girafarig,Girafarigs rear head contains a tiny brain that is too small for thinking. However the rear head doesnt need to sleep so it can keep watch over its surroundings 24 hours a day.,0
Pineco,Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokemon is disturbed while eating by someone shaking its tree it drops down to the ground and explodes with no warning.,0
Forretress,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokemon is catching prey but it does so at such a quick pace that the shells inside cannot be seen.,0
Dunsparce,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokemon is known to make its nest in complex shapes deep under the ground.,0
Gligar,Gligar glides through the air without a sound as if it were sliding. This Pokemon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs then injects the prey with its poison barb.,0
Steelix,Steelix lives even further underground than Onix. This Pokemon is known to dig toward the earths core. There are records of this Pokemon reaching a depth of over six-tenths of a mile underground.,0
Snubbull,Its growls make its opponents uneasy. This laid-back Pokemon tends to sleep half the day.,0
Granbull,More timid than Snubbull this Pokemon is doted on by young people amused at the contrast between its looks and its attitude.,0
Qwilfish,Qwilfish sucks in water inflating itself. This Pokemon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.,0
Scizor,Once it has identified an enemy this Pokemon smashes it mercilessly with pincers hard as steel.,0
Shuckle,Shuckle quietly hides itself under rocks keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.,0
Heracross,Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree giving the Pokemon a secure and solid footing to forcefully fling away foes with its proud horn.,0
Sneasel,It uses its claws to poke holes in eggs so it can slurp out the insides. Breeders consider it a scourge and will drive it away or eradicate it.,0
Teddiursa,This Pokemon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,0
Ursaring,In the forests inhabited by Ursaring it is said that there are many streams and towering trees where they gather food. This Pokemon walks through its forest gathering food every day.,0
Slugma,Slugma does not have any blood in its body. Instead intensely hot magma circulates throughout this Pokemons body carrying essential nutrients and oxygen to its organs.,0
Magcargo,Magcargos body temperature is approximately 18000 degrees Fahrenheit. Water is vaporized on contact. If this Pokemon is caught in the rain the raindrops instantly turn into steam cloaking the area in a thick fog.,0
Swinub,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokemon occasionally roots out hot springs.,0
Piloswine,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokemon uses its tusks to dig up food that has been buried under ice.,0
Corsola,Pursued by Mareanie for the branches on its head this Pokemon will sometimes snap its own branches off as a diversion while it escapes.,0
Remoraid,Remoraid sucks in water then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near this Pokemon travels downstream from rivers.,0
Octillery,Octillery grabs onto its foe using its tentacles. This Pokemon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong Octillery spews ink to escape.,0
Delibird,It has a generous habit of sharing its food with people and Pokemon so its always scrounging around for more food.,0
Mantine,On sunny days schools of Mantine can be seen elegantly leaping over the seas waves. This Pokemon is not bothered by the Remoraid that hitches rides.,0
Skarmory,Its metal body is sturdy but it does rust rather easily. So on rainy days this Pokemon prefers to stay put in its nest.,0
Houndour,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokemons remarkable teamwork is unparalleled.,0
Houndoom,In a Houndoom pack the one with its horns raked sharply toward the back serves a leadership role. These Pokemon choose their leader by fighting among themselves.,0
Kingdra,Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives the Pokemon is said to awaken and wander about in search of prey.,0
Phanpy,Phanpy uses its long nose to shower itself. When others gather around they thoroughly douse each other with water. These Pokemon can be seen drying their soaking-wet bodies at the edge of water.,0
Donphan,If Donphan were to tackle with its hard body even a house could be destroyed. Using its massive strength the Pokemon helps clear rock and mud slides that block mountain trails.,0
Porygon2,Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.,0
Stantler,Stantlers magnificent antlers were traded at high prices as works of art. As a result this Pokemon was hunted close to extinction by those who were after the priceless antlers.,0
